question,label
Come posso integrare un’esperienza di volontariato nel piano di studi?,complex
Quali sono le procedure per il riconoscimento di attività extracurriculari?,complex
Come posso pianificare la frequenza di corsi opzionali senza sovrapposizioni?,complex
Quali sono i vantaggi di partecipare a un programma di doppia laurea?,complex
Come posso gestire il carico di studio durante un periodo di lavoro part-time?,complex
Quali sono le implicazioni di sostenere esami fuori corso?,complex
Come posso recuperare crediti formativi in caso di trasferimento da altro ateneo?,complex
Quali sono le strategie per gestire ansia e stress durante la sessione d’esami?,complex
Come posso pianificare uno stage all’estero senza ritardare la laurea?,complex
Quali sono le procedure per il riconoscimento di titoli di studio stranieri?,complex
Come posso organizzare il piano di studi per ottenere una doppia specializzazione?,complex
Quali sono i passi per iscriversi a un dottorato dopo la laurea magistrale?,complex
Come posso integrare corsi online nel mio percorso universitario?,complex
Quali strategie adottare per mantenere alta la media durante tutto il percorso?,complex
Come posso gestire la preparazione della tesi mentre lavoro?,complex
Quali sono le implicazioni di interrompere temporaneamente gli studi?,complex
Come posso ottenere il riconoscimento di attività lavorative come tirocinio?,complex
Quali sono i vantaggi e gli svantaggi di laurearsi fuori corso?,complex
Come posso pianificare la frequenza di corsi serali e diurni?,complex
Quali sono le procedure per il cambio di curriculum durante la magistrale?,complex
Come posso recuperare esami non sostenuti per motivi di salute?,complex
Quali strategie adottare per superare esami particolarmente difficili?,complex
Come posso integrare attività sportive nel piano di studi?,complex
Quali sono i passi per ottenere una borsa di studio internazionale?,complex
Come posso gestire il passaggio da un corso triennale a uno magistrale?,complex
Quali sono le procedure per la richiesta di esonero tasse per merito?,complex
Come posso sapere quali esami sono propedeutici tra loro?,complex
Posso sostenere due esami nello stesso giorno?,complex
Quali sono le regole per la scelta dei corsi opzionali?,simple
Cosa succede se salto una lezione obbligatoria?,simple
Come posso recuperare un laboratorio perso?,complex
Posso cambiare gruppo di esercitazione durante il semestre?,simple
Quali sono i limiti di crediti per semestre?,simple
Come posso iscrivermi a un corso fuori piano?,complex
Cosa comporta il superamento di tutti gli esami al primo appello?,simple
Posso sostenere esami di anni successivi senza aver finito quelli precedenti?,complex
Come si calcola la media ponderata degli esami?,simple
Quali sono le conseguenze di un voto basso in un esame?,complex
Posso rifiutare un voto e ripetere l’esame?,simple
Come posso ottenere una certificazione linguistica valida per il corso?,complex
Cosa succede se non rispetto le propedeuticità?,complex
Posso frequentare corsi di altri dipartimenti?,complex
Come posso anticipare la tesi?,complex
Quali sono i vantaggi di sostenere esami a distanza?,simple
Come posso chiedere il riconoscimento di attività extracurriculari?,complex
Posso sostenere esami in modalità telematica?,simple
Qual è il numero di insegnanti attivi nel Dipartimento di Informatica?,simple
Quanti studenti risultano iscritti al corso di laurea magistrale in Data Science?,simple
Qual è il voto medio ricevuto dal materiale didattico di Statistica?,simple
Quante edizioni del corso di Programmazione sono state offerte nel semestre S1/2025?,simple
Qual è il numero totale di crediti del piano di studi del primo anno di Informatica?,simple
Quanti corsi prevedono l’esonero durante il semestre S2/2024?,simple
Qual è il codice identificativo del Dipartimento di Economia?,simple
Quante tesi sono state caricate quest’anno accademico?,simple
Qual è il rating medio dei materiali caricati dall’insegnante Rossi?,simple
Quanti corsi hanno la frequenza obbligatoria nel curriculum di Ingegneria Gestionale?,simple
Qual è il numero di materiali didattici verificati per il corso di Database?,simple
Quanti studenti hanno valutato con 5 stelle un materiale didattico?,simple
Qual è la percentuale di corsi che prevedono prerequisiti?,simple
Quante recensioni sono state inviate per l’edizione S1/2025 di Algebra Lineare?,simple
Qual è il CFU medio dei corsi del secondo anno di Fisica?,simple
Qual è il corso con il maggior numero di materiali didattici caricati?,complex
Quale insegnante riceve le valutazioni più alte nelle recensioni degli studenti?,complex
Qual è il dipartimento con il maggior numero di corsi a frequenza obbligatoria?,complex
Qual è la media dei voti degli studenti che hanno completato tutti i corsi al primo tentativo?,complex
Quale corso di laurea ha il rapporto più alto tra studenti e insegnanti?,complex
Quali corsi superano il rating medio di 4.5 e non richiedono prerequisiti?,complex
Qual è la distribuzione dei voti (18-31) per l’esame di Analisi II nell’ultimo anno?,complex
Quali studenti hanno completato tutti i corsi propedeutici prima di iscriversi alla tesi?,complex
Quali insegnanti offrono ricevimento il venerdì e hanno un sito web attivo?,complex
Quali corsi hanno visto un aumento del numero di materiali verificati superiore al 20 % rispetto all’anno precedente?,complex
Quali insegnanti hanno almeno 3 corsi con rating medio superiore a 4?,complex
Quali corsi non obbligatori presentano una percentuale di abbandono superiore al 30 %?,complex
Quali studenti hanno caricato materiali didattici e ricevuto almeno 10 valutazioni?,complex
Quali corsi di laurea superano i 180 CFU totali e prevedono un test di ammissione?,complex
Quali dipartimenti ospitano corsi magistrali senza corsi a ciclo unico?,complex
Quali studenti sono iscritti al corso di laurea Ingegneria Informatica e Automatica?,simple
Quali sono i professori che hanno tenuto corsi nel semestre S2/2023?,simple
Quanti crediti vale il corso di informatica?,simple
Quando si tiene l'esame di matematica 2?,simple
Qual è l'aula della lezione di diritto?,simple
Chi è il docente di economia politica?,simple
Qual è la durata della prova scritta?,simple
Qual è il codice del corso di statistica?,simple
Quanti appelli ci sono a luglio?,simple
Quando inizia il semestre primaverile?,simple
Qual è il voto minimo per superare l'esame?,simple
Dove si trova la segreteria studenti?,simple
Qual è il numero massimo di crediti per semestre?,simple
Quando scadono le iscrizioni agli esami?,simple
Qual è la durata di una lezione tipica?,simple
Quanti studenti sono iscritti al corso?,simple
Dove posso trovare il calendario accademico?,simple
Come posso organizzare il piano di studi per laurearmi in 3 anni?,complex
Quali esami posso sostenere in parallelo senza problemi di sovrapposizioni?,complex
Se salto l'esame di statistica a giugno, quando posso riprovare e quali sono le conseguenze?,complex
Posso laurearmi in 3 anni?,complex
Posso superare il test di economia studiando solo 2 ore? E 3? E 4?,complex
Come posso recuperare un esame non superato senza ritardare la laurea?,complex
Quali strategie posso adottare per migliorare la media voti?,complex
Come posso conciliare lavoro e studio durante il semestre?,complex
Quali sono i passi per cambiare corso di laurea senza perdere crediti?,complex
Come posso pianificare gli esami per evitare sovrapposizioni e ritardi?,complex
Quali sono i prerequisiti per economia applicata?,complex
Come posso evitare il sovraccarico di esami in un semestre?,complex
Quali sono i vantaggi e gli svantaggi di scegliere un curriculum internazionale?,complex
Come posso gestire eventuali problemi di propedeuticità tra esami?,complex
Quali soluzioni ci sono se due esami obbligatori si sovrappongono?,complex
